frame,timestamp_s,segment,track_3d_mean_mm,track_3d_rmse_mm,stereo_left_track_2d_mean_px,stereo_left_track_2d_rmse_px,stereo_right_track_2d_mean_px,stereo_right_track_2d_rmse_px
7,0.23333333333333334,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
15,0.5,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
23,0.7666666666666667,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
31,1.0333333333333334,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
39,1.3,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
47,1.5666666666666667,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.563974142074585,6.246277809143066,3.415257692337036,6.100155830383301
55,1.8333333333333333,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.563974142074585,6.246277809143066,3.528162717819214,6.204383850097656
63,2.1,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.563974142074585,6.246277809143066,3.528162717819214,6.204383850097656
71,2.3666666666666667,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.563974142074585,6.246277809143066,3.415257692337036,6.100155830383301
79,2.6333333333333333,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.528604030609131,6.20439338684082
87,2.9,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.528604030609131,6.20439338684082
95,3.1666666666666665,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
103,3.433333333333333,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
111,3.7,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449871778488159,6.1413445472717285,3.415257692337036,6.100155830383301
119,3.966666666666667,assimilation_0_79_percent,0.3404079079627991,0.591373860836029,3.449873685836792,6.1413445472717285,3.415257692337036,6.100155830383301
127,4.233333333333333,assimilation_0_79_percent,0.34540659189224243,0.587665855884552,3.5295519828796387,6.087986469268799,3.4903149604797363,6.045860290527344
135,4.5,assimilation_0_79_percent,0.39816969633102417,0.5972228050231934,4.103110313415527,6.136475563049316,4.052565574645996,6.082696437835693
143,4.766666666666667,assimilation_0_79_percent,0.49188682436943054,0.6352651715278625,5.104210376739502,6.509612083435059,5.034341812133789,6.429864406585693
151,5.033333333333333,assimilation_0_79_percent,0.6243410110473633,0.7200860977172852,6.515424728393555,7.4163498878479,6.412420272827148,7.298184394836426
159,5.3,assimilation_0_79_percent,0.7886167168617249,0.8557592034339905,8.258971214294434,8.88055419921875,8.111828804016113,8.712724685668945
167,5.566666666666666,assimilation_0_79_percent,0.965212881565094,1.0234001874923706,10.141790390014648,10.698957443237305,9.947847366333008,10.476672172546387
175,5.833333333333333,assimilation_0_79_percent,1.1360173225402832,1.1991385221481323,11.982666969299316,12.63262939453125,11.744305610656738,12.358895301818848
183,6.1,assimilation_0_79_percent,1.2882347106933594,1.364143967628479,13.586743354797363,14.432202339172363,13.309814453125,14.114842414855957
191,6.366666666666666,assimilation_0_79_percent,1.4116003513336182,1.4998341798782349,14.81888484954834,15.895553588867188,14.506715774536133,15.543754577636719
199,6.633333333333334,assimilation_0_79_percent,1.4920016527175903,1.5884063243865967,15.614395141601562,16.813657760620117,15.27087688446045,16.441423416137695
207,6.9,assimilation_0_79_percent,1.544631838798523,1.644362449645996,16.026126861572266,17.354534149169922,15.677385330200195,16.984817504882812
215,7.166666666666667,assimilation_0_79_percent,1.8804720640182495,2.0091474056243896,19.430620193481445,21.09935760498047,19.05866050720215,20.6942081451416
223,7.433333333333334,assimilation_0_79_percent,2.6752233505249023,2.8689279556274414,27.583616256713867,30.137765884399414,25.629236221313477,26.96685028076172
231,7.7,assimilation_0_79_percent,3.5113134384155273,3.7420742511749268,34.33273696899414,36.03758239746094,33.632266998291016,35.25143814086914
239,7.966666666666667,assimilation_0_79_percent,3.944918394088745,4.165534496307373,38.82799530029297,40.272735595703125,40.20831298828125,43.3095703125
247,8.233333333333333,assimilation_0_79_percent,4.055957317352295,4.252173900604248,40.12205505371094,41.337215423583984,41.40948486328125,44.18117141723633
255,8.5,assimilation_0_79_percent,4.098153114318848,4.287586212158203,40.347808837890625,41.67353820800781,41.60551452636719,44.469940185546875
263,8.766666666666667,assimilation_0_79_percent,4.1084418296813965,4.293895244598389,40.207149505615234,41.63353729248047,41.46260070800781,44.435428619384766
271,9.033333333333333,assimilation_0_79_percent,4.120053768157959,4.303402900695801,40.11281967163086,41.561344146728516,41.36233901977539,44.369468688964844
279,9.3,assimilation_0_79_percent,4.308446407318115,4.37833309173584,43.0853271484375,44.54935073852539,41.980892181396484,43.451961517333984
287,9.566666666666666,assimilation_0_79_percent,4.724778652191162,4.873460292816162,48.35786437988281,51.09286117553711,47.339298248291016,50.09904861450195
295,9.833333333333334,assimilation_0_79_percent,4.64288854598999,4.783899307250977,47.48739242553711,50.09081268310547,46.559635162353516,49.09708786010742
