camera,frame,segment,filename,psnr_full_db,ssim_full,psnr_tissue_db,ssim_tissue,psnr_tissue_layer_db,ssim_tissue_layer,lpips_tissue_layer_alex_v0.1,tissue_pixels,tissue_union_crop_width,tissue_union_crop_height
stereo_left,7,assimilation_0_79_percent,000007.png,13.453831631039098,0.30873027443885803,27.832876535364733,0.776664137840271,22.582318927391448,0.7996615767478943,0.523515522480011,838563,1407,846
stereo_left,15,assimilation_0_79_percent,000015.png,13.453831631039098,0.30873027443885803,27.832876535364733,0.776664137840271,22.582318927391448,0.7996615767478943,0.523515522480011,838563,1407,846
stereo_left,23,assimilation_0_79_percent,000023.png,13.453831631039098,0.30873027443885803,27.832876535364733,0.776664137840271,22.582318927391448,0.7996615767478943,0.523515522480011,838563,1407,846
stereo_left,31,assimilation_0_79_percent,000031.png,13.453831631039098,0.30873027443885803,27.832876535364733,0.776664137840271,22.582318927391448,0.7996615767478943,0.523515522480011,838563,1407,846
stereo_left,39,assimilation_0_79_percent,000039.png,13.453831631039098,0.30873027443885803,27.832876535364733,0.776664137840271,22.582318927391448,0.7996615767478943,0.523515522480011,838563,1407,846
stereo_left,47,assimilation_0_79_percent,000047.png,13.453575764783148,0.3087212145328522,27.831561103065503,0.7766727209091187,22.582042220831823,0.7996670007705688,0.5235303044319153,838563,1407,846
stereo_left,55,assimilation_0_79_percent,000055.png,13.451123581955752,0.3086966872215271,27.810787466745005,0.776679277420044,22.5776641747189,0.7996717691421509,0.5235565900802612,838563,1407,846
stereo_left,63,assimilation_0_79_percent,000063.png,13.44615038794432,0.3085954487323761,27.76952172022328,0.776598334312439,22.56891947367507,0.7996159195899963,0.5234887599945068,838563,1407,846
stereo_left,71,assimilation_0_79_percent,000071.png,13.437897812208263,0.3084293305873871,27.708161930061305,0.7764338850975037,22.555793638285916,0.7995038032531738,0.5237506031990051,838563,1407,846
stereo_left,79,assimilation_0_79_percent,000079.png,13.428435478476654,0.308313250541687,27.602708407766894,0.776564359664917,22.53289399374866,0.799595296382904,0.5236992239952087,838563,1407,846
stereo_left,87,assimilation_0_79_percent,000087.png,13.423928417973201,0.3081231415271759,27.434944185639182,0.776520848274231,22.439909736143655,0.799393892288208,0.5240431427955627,838352,1407,846
stereo_left,95,assimilation_0_79_percent,000095.png,13.422844814495518,0.3079921305179596,27.32192164633464,0.7766501903533936,22.311347811382667,0.7991650104522705,0.5241769552230835,837902,1407,846
stereo_left,103,assimilation_0_79_percent,000103.png,13.422156715413443,0.3079395890235901,27.287468034887073,0.7766892910003662,22.27584469379099,0.799103856086731,0.5238911509513855,837754,1407,846
stereo_left,111,assimilation_0_79_percent,000111.png,13.421919072600437,0.30792585015296936,27.294247877024084,0.7767297625541687,22.263181529288047,0.7990829348564148,0.5238828063011169,837675,1407,846
stereo_left,119,assimilation_0_79_percent,000119.png,13.421486154970541,0.30786821246147156,27.30276863108429,0.7766942381858826,22.23935651106092,0.7989693880081177,0.5238963961601257,837534,1407,846
stereo_left,127,assimilation_0_79_percent,000127.png,13.420249535994593,0.30789655447006226,27.352274525724823,0.776943564414978,22.203557599578435,0.7992725372314453,0.5155216455459595,837384,1407,847
stereo_left,135,assimilation_0_79_percent,000135.png,13.423584268950165,0.30797064304351807,27.425928950718365,0.7770708799362183,22.234903115490358,0.7995085120201111,0.5154798030853271,837279,1407,847
stereo_left,143,assimilation_0_79_percent,000143.png,13.424602915269631,0.30798259377479553,27.45020475498837,0.777076780796051,22.240832731219818,0.7995280623435974,0.5156019330024719,837254,1407,847
stereo_left,151,assimilation_0_79_percent,000151.png,13.426603887606298,0.3085561990737915,27.471586038431465,0.7776923775672913,22.290910416998706,0.7998883128166199,0.5158649682998657,838291,1407,847
stereo_left,159,assimilation_0_79_percent,000159.png,13.432308512557327,0.3101329207420349,27.49126473847317,0.7785882949829102,22.426788066346862,0.8006967306137085,0.5174652934074402,841997,1407,847
stereo_left,167,assimilation_0_79_percent,000167.png,13.431583971901205,0.31167733669281006,27.165527663870684,0.7784745693206787,22.36752421349972,0.8000999093055725,0.5263931751251221,847021,1407,846
stereo_left,175,assimilation_0_79_percent,000175.png,13.434786128220049,0.3133033514022827,26.92055324333286,0.7787315845489502,22.237870635567837,0.7986549735069275,0.5340796113014221,851593,1405,844
stereo_left,183,assimilation_0_79_percent,000183.png,13.417674643386334,0.3139275014400482,26.32504004511,0.7773420214653015,21.97192618036682,0.8001237511634827,0.5246698260307312,854852,1403,864
stereo_left,191,assimilation_0_79_percent,000191.png,13.410051352481906,0.3148947060108185,25.931061571724015,0.7778433561325073,21.9571518146638,0.8048187494277954,0.521633505821228,857159,1399,888
stereo_left,199,assimilation_0_79_percent,000199.png,13.397180151825143,0.31543079018592834,25.88168337918531,0.7780790328979492,21.833551261990557,0.8072131276130676,0.5128871202468872,858899,1396,907
stereo_left,207,assimilation_0_79_percent,000207.png,13.383717851813092,0.31608307361602783,25.613369989420907,0.7781639099121094,21.775008404390096,0.8103165626525879,0.5002107620239258,860720,1392,929
stereo_left,215,assimilation_0_79_percent,000215.png,13.364790264420801,0.3167186975479126,25.053147672966457,0.7786051034927368,21.59685988620412,0.8127497434616089,0.4989035725593567,862153,1389,946
stereo_left,223,assimilation_0_79_percent,000223.png,13.3312209280529,0.3169240951538086,24.511653627821367,0.7786040902137756,21.28492152326864,0.8138739466667175,0.49305716156959534,863011,1384,961
stereo_left,231,assimilation_0_79_percent,000231.png,13.316835341388627,0.3168753385543823,24.016266464212954,0.7775488495826721,21.212067279587604,0.8149524331092834,0.4935190677642822,863530,1381,971
stereo_left,239,assimilation_0_79_percent,000239.png,13.306034731741283,0.3172086477279663,23.826053984328944,0.7785578966140747,21.14194629702833,0.8164137005805969,0.48973554372787476,863007,1378,981
stereo_left,247,assimilation_0_79_percent,000247.png,13.306544973694717,0.316165953874588,23.972241134575427,0.7785337567329407,21.15585318886343,0.8171399235725403,0.48799002170562744,859620,1375,983
stereo_left,255,assimilation_0_79_percent,000255.png,13.335302848970807,0.3133123219013214,25.456744041287855,0.7794825434684753,21.34764693458464,0.8204036355018616,0.4740745425224304,846817,1373,1008
stereo_left,263,assimilation_0_79_percent,000263.png,13.367475208155826,0.3073040246963501,25.92542669717458,0.7771601676940918,21.68509691234139,0.8194646239280701,0.48175519704818726,832442,1374,973
stereo_left,271,assimilation_0_79_percent,000271.png,13.4043645314644,0.30383020639419556,26.8239976431104,0.7759988307952881,21.74802494317431,0.7983340620994568,0.5220715403556824,822157,1380,859
stereo_left,279,assimilation_0_79_percent,000279.png,13.410816663521478,0.30150094628334045,26.210003338901096,0.7736111283302307,21.930814995468744,0.8037480115890503,0.50395667552948,816782,1385,867
stereo_left,287,assimilation_0_79_percent,000287.png,13.390626733523156,0.3005960285663605,26.129659365398577,0.7745901942253113,21.7179914703016,0.8025392889976501,0.5134772062301636,813973,1386,856
stereo_left,295,assimilation_0_79_percent,000295.png,13.40969375683766,0.30185672640800476,26.361446830501375,0.7754725217819214,21.9985959665224,0.8008336424827576,0.5223143100738525,816405,1385,843
stereo_left,303,assimilation_0_79_percent,000303.png,13.408721160503951,0.3029821813106537,26.62487922495324,0.7753352522850037,22.012684731272994,0.8005698323249817,0.5177913308143616,818286,1387,856
stereo_left,311,assimilation_0_79_percent,000311.png,13.411929212836055,0.30344662070274353,26.9591322872299,0.7755064964294434,21.996010979772443,0.7961379289627075,0.5264536142349243,819808,1386,841
stereo_left,319,assimilation_0_79_percent,000319.png,13.413385361833171,0.30385714769363403,26.561610986506064,0.7750052809715271,22.17772024776819,0.8009934425354004,0.5074969530105591,821062,1387,863
stereo_left,327,assimilation_0_79_percent,000327.png,13.424503602758808,0.3041573762893677,26.538706063283144,0.7753676176071167,22.27391679873064,0.7988697290420532,0.5266574621200562,822125,1387,843
stereo_left,335,assimilation_0_79_percent,000335.png,13.41153845730413,0.30521437525749207,25.53348804037519,0.775386393070221,22.26633269963021,0.8045079112052917,0.5114462375640869,823402,1384,877
stereo_left,343,assimilation_0_79_percent,000343.png,13.389479374202072,0.30502599477767944,24.595222120117146,0.7748508453369141,21.907104390842992,0.8014501333236694,0.5227590203285217,824354,1381,862
stereo_left,351,assimilation_0_79_percent,000351.png,13.410314246630948,0.3058498203754425,24.432602270727443,0.7753855586051941,21.960392129407246,0.7995208501815796,0.5251839756965637,825554,1380,843
stereo_left,359,assimilation_0_79_percent,000359.png,13.39488616118677,0.30554714798927307,23.852310954279755,0.7746975421905518,21.746369936935576,0.799137532711029,0.5292066335678101,825786,1380,838
stereo_right,7,assimilation_0_79_percent,000007.png,13.866368851561145,0.30889421701431274,27.844499468646035,0.7765690684318542,22.091151068124837,0.7747883796691895,0.573876678943634,837407,1412,749
stereo_right,15,assimilation_0_79_percent,000015.png,13.866368851561145,0.30889421701431274,27.844499468646035,0.7765690684318542,22.091151068124837,0.7747883796691895,0.573876678943634,837407,1412,749
stereo_right,23,assimilation_0_79_percent,000023.png,13.866368851561145,0.30889421701431274,27.844499468646035,0.7765690684318542,22.091151068124837,0.7747883796691895,0.573876678943634,837407,1412,749
stereo_right,31,assimilation_0_79_percent,000031.png,13.866368851561145,0.30889421701431274,27.844499468646035,0.7765690684318542,22.091151068124837,0.7747883796691895,0.573876678943634,837407,1412,749
stereo_right,39,assimilation_0_79_percent,000039.png,13.866368851561145,0.30889421701431274,27.844499468646035,0.7765690684318542,22.091151068124837,0.7747883796691895,0.573876678943634,837407,1412,749
stereo_right,47,assimilation_0_79_percent,000047.png,13.866665601837102,0.3088938891887665,27.84233291018056,0.7765854597091675,22.090694811153536,0.7748016119003296,0.573794424533844,837407,1412,749
stereo_right,55,assimilation_0_79_percent,000055.png,13.864972466448647,0.3088117241859436,27.82250017913171,0.7764832377433777,22.08651087298662,0.774722158908844,0.5739647746086121,837407,1412,749
stereo_right,63,assimilation_0_79_percent,000063.png,13.86217356219554,0.3087456524372101,27.777740954697464,0.7764439582824707,22.077011725623905,0.7746914625167847,0.573940634727478,837407,1412,749
stereo_right,71,assimilation_0_79_percent,000071.png,13.85703335145475,0.3087460696697235,27.722066281021583,0.7766636610031128,22.065088522555175,0.7748655676841736,0.5735382437705994,837407,1412,749
stereo_right,79,assimilation_0_79_percent,000079.png,13.850898563799783,0.3085273504257202,27.613674004006302,0.7765030860900879,22.041528849679757,0.7747349143028259,0.5734333992004395,837407,1412,749
stereo_right,87,assimilation_0_79_percent,000087.png,13.849113433244373,0.3083420991897583,27.43883966507934,0.7764325737953186,21.94866816366382,0.7745018601417542,0.5738133788108826,837204,1412,749
stereo_right,95,assimilation_0_79_percent,000095.png,13.850402642406669,0.3081793785095215,27.315019485351186,0.7764561176300049,21.81794066057311,0.774161696434021,0.573968768119812,836756,1412,749
stereo_right,103,assimilation_0_79_percent,000103.png,13.850529071461173,0.3081861436367035,27.283295336634463,0.7766488194465637,21.783080537511662,0.77420574426651,0.5739428400993347,836609,1412,749
stereo_right,111,assimilation_0_79_percent,000111.png,13.85018827111683,0.30816057324409485,27.28706926342926,0.7766614556312561,21.769379681806747,0.774165153503418,0.5740002393722534,836530,1412,749
stereo_right,119,assimilation_0_79_percent,000119.png,13.849818054044947,0.30812346935272217,27.299286708508266,0.7766685485839844,21.747849524363467,0.7740764617919922,0.5741083025932312,836398,1412,749
stereo_right,127,assimilation_0_79_percent,000127.png,13.84881081505875,0.3081105649471283,27.342754515145295,0.7767980694770813,21.71638119591059,0.7742415070533752,0.5745105743408203,836252,1411,750
stereo_right,135,assimilation_0_79_percent,000135.png,13.852549294441697,0.3081662654876709,27.41691760816499,0.7769021391868591,21.74867738186373,0.7745018601417542,0.5746703147888184,836148,1411,750
stereo_right,143,assimilation_0_79_percent,000143.png,13.853580583080355,0.3082038462162018,27.44074384226177,0.7769849300384521,21.748177381825855,0.7742710709571838,0.5710992813110352,836125,1411,749
stereo_right,151,assimilation_0_79_percent,000151.png,13.855340821769872,0.3087155520915985,27.45269097100412,0.7774147391319275,21.802206504348753,0.7748292088508606,0.5752626657485962,837163,1411,750
stereo_right,159,assimilation_0_79_percent,000159.png,13.86080017154355,0.31033822894096375,27.466360048920922,0.7784037590026855,21.95630102167793,0.7771836519241333,0.5688193440437317,840848,1411,755
stereo_right,167,assimilation_0_79_percent,000167.png,13.86035781888343,0.3118177056312561,27.155721313129938,0.7780664563179016,22.000101861829858,0.7809902429580688,0.5680780410766602,845916,1411,770
stereo_right,175,assimilation_0_79_percent,000175.png,13.86137167602615,0.31306153535842896,26.896644838477343,0.777205765247345,21.968248953964373,0.7840579748153687,0.5635178685188293,850497,1409,788
stereo_right,183,assimilation_0_79_percent,000183.png,13.840922710180825,0.3139841854572296,26.340479147321354,0.776473343372345,21.715655536332036,0.7864034175872803,0.5607068538665771,853803,1406,808
stereo_right,191,assimilation_0_79_percent,000191.png,13.830094630814243,0.3146169185638428,25.93247589233132,0.7762014269828796,21.689551341600826,0.7907940745353699,0.5545721650123596,856169,1403,830
stereo_right,199,assimilation_0_79_percent,000199.png,13.812994132762046,0.31534910202026367,25.85707273936385,0.7770315408706665,21.594424113489595,0.7948330640792847,0.5415053963661194,858034,1400,852
stereo_right,207,assimilation_0_79_percent,000207.png,13.796948778196372,0.3163100481033325,25.60935921728109,0.7778813242912292,21.538670197140497,0.798823356628418,0.5336325764656067,859948,1397,873
stereo_right,215,assimilation_0_79_percent,000215.png,13.774669063192748,0.3167603313922882,25.0270523806922,0.7779718041419983,21.440453358344666,0.8048414587974548,0.5196765661239624,861454,1395,905
stereo_right,223,assimilation_0_79_percent,000223.png,13.736592803189076,0.31689006090164185,24.4641463403922,0.7776643633842468,21.084625324083582,0.80400151014328,0.5180408358573914,862396,1390,911
stereo_right,231,assimilation_0_79_percent,000231.png,13.718899620167146,0.31694018840789795,23.97530151808646,0.7769760489463806,20.987928736122438,0.8048690557479858,0.516592264175415,862863,1386,919
stereo_right,239,assimilation_0_79_percent,000239.png,13.705042150086026,0.31697800755500793,23.781083915216573,0.7771113514900208,20.937774360826403,0.8069143295288086,0.5119301080703735,862385,1383,934
stereo_right,247,assimilation_0_79_percent,000247.png,13.70589467605825,0.3160899877548218,23.93472537195435,0.7775130271911621,20.92402760666569,0.8067303895950317,0.5129665732383728,858975,1380,930
stereo_right,255,assimilation_0_79_percent,000255.png,13.739537715970219,0.3132653534412384,25.402286224329416,0.7784706354141235,21.03075788164635,0.8060559630393982,0.5081591606140137,846126,1378,933
stereo_right,263,assimilation_0_79_percent,000263.png,13.778056547693609,0.3070961534976959,25.87648111661435,0.7758604288101196,21.318834741905484,0.8021117448806763,0.5183755159378052,831720,1380,887
stereo_right,271,assimilation_0_79_percent,000271.png,13.821211082216918,0.30366918444633484,26.78127883615605,0.7748928666114807,21.694964541446005,0.7937144041061401,0.5355116128921509,821327,1384,839
