dataset,capability,repeats,3d_mean_mm_mean,3d_mean_mm_sample_std,2d_mean_px_mean,2d_mean_px_sample_std,2d_valid_fraction_mean,2d_valid_fraction_sample_std,psnr_db_mean,psnr_db_sample_std,ssim_mean,ssim_sample_std,lpips_mean,lpips_sample_std,3d_valid_fraction_mean,3d_valid_fraction_sample_std
sim01,reconstruction_7to1,2,3502.3094522683987,405.6004463324704,,,0.015388919977616116,0.02176321934261898,7.324382371074179,0.030620427739202146,0.45991198817888895,0.00027453192714537903,0.72657051384449,0.0014511721900281223,1.0,0.0
sim01,future_80to20,2,8069.361910422643,653.1429167393865,,,0.0,0.0,7.304959799394836,0.0,0.4647871231039365,0.0,0.7214887758096059,0.0,1.0,0.0
sim02,reconstruction_7to1,3,911.0754562224503,519.56518128891,,,0.11346332404828229,0.16037054621589664,7.846446698921618,0.5825347841160822,0.48114231427510584,0.00227728694110677,0.6905698551072015,0.03786052719889153,1.0,0.0
sim02,future_80to20,3,1905.7014625050404,925.7379737150471,,,0.0,0.0,7.477220476227573,0.0,0.47876184731721877,0.0,0.7171316807468732,0.0,1.0,0.0
sim03,reconstruction_7to1,3,5437.496346519271,2698.8044143503757,,,0.016571969696969696,0.014447108240901854,5.835479927926052,0.06160356825036993,0.21945031290804898,0.006656698495291838,0.9594511097228086,0.0070127631981685016,1.0,0.0
sim03,future_80to20,3,12621.398143709443,6275.48771958191,,,0.0,0.0,5.6360113312253,0.0,0.19487723811633054,0.0,0.9845218741231494,0.0,1.0,0.0
