camera,frame,segment,filename,psnr_full_db,ssim_full,psnr_tissue_db,ssim_tissue,psnr_tissue_layer_db,ssim_tissue_layer,lpips_tissue_layer_alex_v0.1,tissue_pixels,tissue_union_crop_width,tissue_union_crop_height
stereo_left,240,assimilation_0_79_percent,000240.png,9.383597159517493,0.2666953206062317,25.47455435829404,0.7865684628486633,17.769162831493897,0.8319597840309143,0.4200119376182556,695131,1285,1081
stereo_left,241,assimilation_0_79_percent,000241.png,9.368202649021889,0.265222430229187,23.762853544920137,0.7820854187011719,17.584260936704013,0.8296152949333191,0.4222147464752197,695214,1284,1080
stereo_left,242,assimilation_0_79_percent,000242.png,9.356732302777985,0.2641359865665436,22.712300992324607,0.7788503170013428,17.463244555116894,0.8287015557289124,0.4242725074291229,695022,1286,1080
stereo_left,243,assimilation_0_79_percent,000243.png,9.348463653123032,0.2634944021701813,22.01003866040615,0.7766159176826477,17.367888081492154,0.8279200196266174,0.42398083209991455,695024,1285,1079
stereo_left,244,assimilation_0_79_percent,000244.png,9.341446740047253,0.26284435391426086,21.513479912096173,0.77439284324646,17.288446303527593,0.8271751999855042,0.42545121908187866,694988,1285,1077
stereo_left,245,assimilation_0_79_percent,000245.png,9.33503413876775,0.2621959447860718,21.13486533002934,0.772441565990448,17.213731790935455,0.826237142086029,0.4262203276157379,694865,1284,1075
stereo_left,246,assimilation_0_79_percent,000246.png,9.32853590383625,0.2616238594055176,20.782810341138422,0.7706367373466492,17.136954075774284,0.8252089023590088,0.4271159768104553,694984,1283,1073
stereo_left,247,assimilation_0_79_percent,000247.png,9.324580081740677,0.2609896659851074,20.5911319052866,0.7690736055374146,17.09484639767239,0.8245145082473755,0.42601022124290466,694624,1283,1072
stereo_left,248,assimilation_0_79_percent,000248.png,9.319292071121186,0.26061949133872986,20.34710492031462,0.7678749561309814,17.038916191482127,0.8239454030990601,0.4270596504211426,694625,1282,1072
stereo_left,249,assimilation_0_79_percent,000249.png,9.31344329160703,0.2602461576461792,20.095172907784125,0.7664765119552612,16.977945227701316,0.8232684135437012,0.4281253516674042,694770,1281,1072
stereo_left,250,assimilation_0_79_percent,000250.png,9.309422800623855,0.2598002254962921,19.93427833211118,0.7652739882469177,16.940895198011884,0.8229156136512756,0.4301822781562805,694678,1280,1073
stereo_left,251,assimilation_0_79_percent,000251.png,9.305535356706844,0.2594476342201233,19.785006096247585,0.7641911506652832,16.904310862669142,0.8225498199462891,0.43097853660583496,694604,1279,1074
stereo_left,252,assimilation_0_79_percent,000252.png,9.302478828936525,0.2591153681278229,19.672631363231773,0.7633802890777588,16.866295695400073,0.8219586610794067,0.43501996994018555,694395,1278,1073
stereo_left,253,assimilation_0_79_percent,000253.png,9.299606749682232,0.25868523120880127,19.56762892932735,0.762186586856842,16.839274310056958,0.8214963674545288,0.4359290599822998,694267,1278,1073
stereo_left,254,assimilation_0_79_percent,000254.png,9.295044144487768,0.258463054895401,19.404217972647615,0.7612704634666443,16.789833372781903,0.8209327459335327,0.4352060556411743,694474,1277,1073
stereo_left,255,assimilation_0_79_percent,000255.png,9.293859207409767,0.25821778178215027,19.367175050770616,0.7608296275138855,16.784146864874177,0.821046769618988,0.4343867897987366,694173,1277,1074
stereo_left,256,assimilation_0_79_percent,000256.png,9.291596677755667,0.257931113243103,19.29619741683336,0.7601252794265747,16.757872201666107,0.8205817341804504,0.4349192976951599,693981,1276,1074
stereo_left,257,assimilation_0_79_percent,000257.png,9.288799084022815,0.25776535272598267,19.198164219953114,0.7594355344772339,16.729708897437156,0.8202465176582336,0.4355394244194031,694054,1276,1074
stereo_left,258,assimilation_0_79_percent,000258.png,9.286959002212923,0.25767749547958374,19.13629966660426,0.7592188119888306,16.71216322397647,0.820170521736145,0.43555793166160583,693947,1276,1074
stereo_left,259,assimilation_0_79_percent,000259.png,9.28471104108642,0.2574348747730255,19.0576822997808,0.758254885673523,16.689717381642005,0.8197281360626221,0.43598607182502747,694037,1276,1074
stereo_left,260,assimilation_0_79_percent,000260.png,9.282965137899863,0.2572198510169983,19.00287084485236,0.7576350569725037,16.66885479893285,0.8192301988601685,0.43658360838890076,693945,1275,1074
stereo_left,261,assimilation_0_79_percent,000261.png,9.282070919029213,0.2570335566997528,18.978643002467535,0.7572458386421204,16.658987548471544,0.8190261125564575,0.4364973306655884,693710,1275,1074
stereo_left,262,assimilation_0_79_percent,000262.png,9.280801499344632,0.2568655014038086,18.937304679395858,0.7567987442016602,16.6456520019247,0.8188145160675049,0.436936616897583,693613,1275,1074
stereo_left,263,assimilation_0_79_percent,000263.png,9.278527125016064,0.25674131512641907,18.86874028849514,0.7562310099601746,16.623356087281604,0.8185028433799744,0.43663278222084045,693708,1275,1074
stereo_left,264,assimilation_0_79_percent,000264.png,9.278349545336603,0.2565261423587799,18.86662425548427,0.755894124507904,16.617158619391258,0.8181990385055542,0.43635445833206177,693431,1274,1074
stereo_left,265,assimilation_0_79_percent,000265.png,9.276700976965435,0.25640419125556946,18.815627745566424,0.7555884122848511,16.600807170599307,0.8180447220802307,0.4361010789871216,693295,1274,1074
stereo_left,266,assimilation_0_79_percent,000266.png,9.273986874184653,0.2562456727027893,18.733942350719715,0.7548876404762268,16.578689307143016,0.8178291916847229,0.43691760301589966,693442,1274,1075
stereo_left,267,assimilation_0_79_percent,000267.png,9.272949987635341,0.256080687046051,18.70405317927152,0.7543541789054871,16.570710753675556,0.8177156448364258,0.4370102286338806,693354,1275,1075
stereo_left,268,assimilation_0_79_percent,000268.png,9.27164930241454,0.2559122145175934,18.66846810525632,0.7538444399833679,16.557430394688485,0.8174548149108887,0.43755343556404114,693333,1275,1075
stereo_left,269,assimilation_0_79_percent,000269.png,9.270569479615595,0.2558520436286926,18.639309081283145,0.7537223100662231,16.546051499843824,0.8173907995223999,0.4377512037754059,693236,1275,1075
stereo_left,270,assimilation_0_79_percent,000270.png,9.26854023774142,0.2556464970111847,18.585603971940895,0.7530041933059692,16.53043120725358,0.8171548843383789,0.43790996074676514,693266,1275,1076
stereo_left,271,assimilation_0_79_percent,000271.png,9.267002255649569,0.2554522454738617,18.543697898675486,0.7525004148483276,16.51248142618022,0.8169262409210205,0.4390260875225067,693242,1274,1076
stereo_left,272,assimilation_0_79_percent,000272.png,9.265593782271832,0.2552691698074341,18.51047910386887,0.752176821231842,16.499434033741284,0.8167893886566162,0.4387650489807129,693082,1274,1076
stereo_left,273,assimilation_0_79_percent,000273.png,9.264648224372502,0.25520849227905273,18.480162501192652,0.7519062757492065,16.484796072728656,0.8164641857147217,0.43893295526504517,693039,1274,1075
