frame,timestamp_s,segment,track_3d_mean_mm,track_3d_rmse_mm,stereo_left_track_2d_mean_px,stereo_left_track_2d_rmse_px,stereo_right_track_2d_mean_px,stereo_right_track_2d_rmse_px
288,9.6,assimilation_0_79_percent,0.5691712498664856,0.8982878923416138,4.824987888336182,7.890514373779297,4.891482353210449,7.965758800506592
289,9.633333333333333,assimilation_0_79_percent,0.5900863409042358,0.9110796451568604,5.123154640197754,8.06304931640625,5.1167893409729,8.15609359741211
290,9.666666666666666,assimilation_0_79_percent,0.6141787767410278,0.9287566542625427,5.3336076736450195,8.282342910766602,5.3328752517700195,8.371533393859863
291,9.7,assimilation_0_79_percent,0.6406686305999756,0.9524896740913391,5.412227153778076,8.516298294067383,5.423629283905029,8.615513801574707
292,9.733333333333333,assimilation_0_79_percent,0.6661050915718079,0.9765115976333618,5.705631732940674,8.774989128112793,5.710242748260498,8.863861083984375
293,9.766666666666667,assimilation_0_79_percent,0.6883267760276794,0.9981983304023743,5.850579738616943,8.974199295043945,5.851853370666504,9.061487197875977
294,9.8,assimilation_0_79_percent,0.7087001204490662,1.017640233039856,5.9858903884887695,9.13261604309082,5.981364727020264,9.215696334838867
295,9.833333333333334,assimilation_0_79_percent,0.7315112352371216,1.0389010906219482,6.292660236358643,9.426257133483887,6.131645202636719,9.349705696105957
296,9.866666666666667,assimilation_0_79_percent,0.756379246711731,1.064407229423523,6.298645496368408,9.427203178405762,6.2807297706604,9.495413780212402
297,9.9,assimilation_0_79_percent,0.7783607840538025,1.0868957042694092,6.405217170715332,9.531750679016113,6.379849910736084,9.593342781066895
298,9.933333333333334,assimilation_0_79_percent,0.7990400791168213,1.109498143196106,6.499284267425537,9.632181167602539,6.459348201751709,9.687026977539062
299,9.966666666666667,assimilation_0_79_percent,0.8189597725868225,1.1320760250091553,6.617914199829102,9.755744934082031,6.5620317459106445,9.803839683532715
300,10.0,assimilation_0_79_percent,0.8366018533706665,1.1515169143676758,6.731866359710693,9.866992950439453,6.673407077789307,9.90830135345459
301,10.033333333333333,assimilation_0_79_percent,0.8533088564872742,1.1709983348846436,6.675595283508301,9.908489227294922,6.780958652496338,10.002674102783203
302,10.066666666666666,assimilation_0_79_percent,0.8656148910522461,1.1830052137374878,6.93416166305542,10.061553001403809,6.878310203552246,10.090760231018066
303,10.1,assimilation_0_79_percent,0.8775826096534729,1.1952346563339233,7.18089485168457,10.320316314697266,6.978238582611084,10.182524681091309
304,10.133333333333333,assimilation_0_79_percent,0.8885462284088135,1.2061035633087158,7.127748012542725,10.254767417907715,7.073988914489746,10.272421836853027
305,10.166666666666666,assimilation_0_79_percent,0.899115800857544,1.2167236804962158,7.2201642990112305,10.349608421325684,7.165638446807861,10.362354278564453
306,10.2,assimilation_0_79_percent,0.9103145599365234,1.2289104461669922,7.305285930633545,10.439209938049316,7.249082565307617,10.447515487670898
307,10.233333333333333,assimilation_0_79_percent,0.9193493127822876,1.2374072074890137,7.18864631652832,10.432554244995117,7.320207595825195,10.526960372924805
308,10.266666666666667,assimilation_0_79_percent,0.9277625679969788,1.245302438735962,7.442671298980713,10.600082397460938,7.384928226470947,10.602309226989746
309,10.3,assimilation_0_79_percent,0.9360610842704773,1.2533915042877197,7.505679607391357,10.67678451538086,7.4471917152404785,10.67668628692627
310,10.333333333333334,assimilation_0_79_percent,0.9442558884620667,1.2617393732070923,7.568872451782227,10.75177001953125,7.509944438934326,10.749492645263672
311,10.366666666666667,assimilation_0_79_percent,0.9534116983413696,1.2721067667007446,7.638655662536621,10.829327583312988,7.579653739929199,10.825008392333984
