frame,timestamp_s,segment,track_3d_mean_mm,track_3d_rmse_mm,stereo_left_track_2d_mean_px,stereo_left_track_2d_rmse_px,stereo_right_track_2d_mean_px,stereo_right_track_2d_rmse_px
288,9.6,assimilation_0_79_percent,6.043906211853027,7.134297847747803,52.96529006958008,57.10760498046875,53.47600555419922,57.499996185302734
289,9.633333333333333,assimilation_0_79_percent,6.037563800811768,7.119239330291748,53.579734802246094,57.600830078125,53.551856994628906,57.55133819580078
290,9.666666666666666,assimilation_0_79_percent,6.032423973083496,7.10666561126709,53.647762298583984,57.64619064331055,53.619384765625,57.595462799072266
291,9.7,assimilation_0_79_percent,6.028372287750244,7.095986843109131,53.15865707397461,57.22667694091797,53.198612213134766,57.25633239746094
292,9.733333333333333,assimilation_0_79_percent,6.024686813354492,7.086328983306885,53.76744079589844,57.722408294677734,53.7376823425293,57.668540954589844
293,9.766666666666667,assimilation_0_79_percent,6.02182674407959,7.07791805267334,53.823829650878906,57.75978088378906,53.79315948486328,57.70369338989258
294,9.8,assimilation_0_79_percent,6.0186991691589355,7.069917678833008,53.86676788330078,57.78566360473633,53.83468246459961,57.72685623168945
295,9.833333333333334,assimilation_0_79_percent,6.015425205230713,7.062340259552002,53.639225006103516,57.67364501953125,53.864891052246094,57.7407341003418
296,9.866666666666667,assimilation_0_79_percent,6.012565612792969,7.055460453033447,53.930931091308594,57.82229995727539,53.89517593383789,57.756961822509766
297,9.9,assimilation_0_79_percent,6.009267807006836,7.048679828643799,53.95166778564453,57.83176803588867,53.91380310058594,57.76296615600586
298,9.933333333333334,assimilation_0_79_percent,6.005651473999023,7.041983604431152,53.966758728027344,57.83757781982422,53.92652893066406,57.76494598388672
299,9.966666666666667,assimilation_0_79_percent,6.002169609069824,7.035737991333008,53.978919982910156,57.841976165771484,53.936279296875,57.76545715332031
300,10.0,assimilation_0_79_percent,5.999053478240967,7.030052185058594,53.99312210083008,57.852237701416016,53.94827651977539,57.77196502685547
301,10.033333333333333,assimilation_0_79_percent,5.9954681396484375,7.024077415466309,53.41039276123047,57.34450912475586,53.95183563232422,57.7703971862793
302,10.066666666666666,assimilation_0_79_percent,5.992127895355225,7.018397331237793,54.004905700683594,57.85792922973633,53.955501556396484,57.77010726928711
303,10.1,assimilation_0_79_percent,5.9882941246032715,7.01250696182251,53.72359085083008,57.70082473754883,53.94968032836914,57.75984191894531
304,10.133333333333333,assimilation_0_79_percent,5.984626770019531,7.006922721862793,53.99787521362305,57.84491729736328,53.943843841552734,57.74970245361328
305,10.166666666666666,assimilation_0_79_percent,5.9811296463012695,7.001646041870117,53.99421691894531,57.83955001831055,53.93803405761719,57.74079132080078
306,10.2,assimilation_0_79_percent,5.977762699127197,6.996466636657715,53.991844177246094,57.83540725708008,53.93331527709961,57.732887268066406
307,10.233333333333333,assimilation_0_79_percent,5.973962783813477,6.991134166717529,53.37572479248047,57.29137420654297,53.92169189453125,57.71840286254883
308,10.266666666666667,assimilation_0_79_percent,5.970386981964111,6.986030101776123,53.97455596923828,57.81509780883789,53.91164016723633,57.7055778503418
309,10.3,assimilation_0_79_percent,5.9672698974609375,6.98138427734375,53.97065734863281,57.81089782714844,53.90570068359375,57.69794845581055
310,10.333333333333334,assimilation_0_79_percent,5.96376371383667,6.9765143394470215,53.96087646484375,57.80087661743164,53.89379119873047,57.68449020385742
311,10.366666666666667,assimilation_0_79_percent,5.960110664367676,6.971643924713135,53.948524475097656,57.78853225708008,53.8792839050293,57.668731689453125
312,10.4,assimilation_0_79_percent,5.9563984870910645,6.966783046722412,53.93484878540039,57.77461242675781,53.863426208496094,57.65138626098633
313,10.433333333333334,assimilation_0_79_percent,5.953129291534424,6.962292194366455,53.92567443847656,57.765785217285156,53.85224914550781,57.639286041259766
314,10.466666666666667,assimilation_0_79_percent,5.949859619140625,6.957840442657471,53.91558074951172,57.75596618652344,53.84013748168945,57.6262092590332
315,10.5,assimilation_0_79_percent,5.946557998657227,6.953450679779053,53.904415130615234,57.745609283447266,53.82688522338867,57.612510681152344
316,10.533333333333333,assimilation_0_79_percent,5.942978858947754,6.948990345001221,53.25159454345703,57.161197662353516,53.80807113647461,57.594871520996094
317,10.566666666666666,assimilation_0_79_percent,5.9391608238220215,6.94445276260376,53.86827087402344,57.71470642089844,53.78623580932617,57.574832916259766
318,10.6,assimilation_0_79_percent,5.935163497924805,6.939870834350586,53.84477615356445,57.69496154785156,53.76026916503906,57.55154800415039
319,10.633333333333333,assimilation_0_79_percent,5.931815147399902,6.935662746429443,53.82884979248047,57.680816650390625,53.741981506347656,57.53400802612305
320,10.666666666666666,assimilation_0_79_percent,5.928841590881348,6.931702136993408,53.816471099853516,57.66907501220703,53.727420806884766,57.51902770996094
321,10.7,assimilation_0_79_percent,5.925967693328857,6.927874565124512,53.8066291809082,57.658817291259766,53.7154426574707,57.50563049316406
322,10.733333333333333,assimilation_0_79_percent,5.923457145690918,6.9243693351745605,53.80025100708008,57.653228759765625,53.70705795288086,57.49697494506836
323,10.766666666666667,assimilation_0_79_percent,5.921721935272217,6.921270847320557,53.807273864746094,57.656394958496094,53.71211624145508,57.49772262573242
324,10.8,assimilation_0_79_percent,5.9198222160339355,6.918126583099365,53.81281661987305,57.658782958984375,53.71548080444336,57.49746322631836
