camera,frame,segment,filename,psnr_full_db,ssim_full,psnr_tissue_db,ssim_tissue,psnr_tissue_layer_db,ssim_tissue_layer,lpips_tissue_layer_alex_v0.1,tissue_pixels,tissue_union_crop_width,tissue_union_crop_height
stereo_left,240,assimilation_0_79_percent,000240.png,9.486738864319596,0.2781645953655243,27.191388324714744,0.7910271883010864,19.401068812699922,0.8434996008872986,0.412432461977005,739558,1312,1098
stereo_left,241,assimilation_0_79_percent,000241.png,9.480161663658814,0.27698415517807007,26.031639429542864,0.7879260182380676,19.29829502929523,0.8423036932945251,0.41387903690338135,739567,1312,1098
stereo_left,242,assimilation_0_79_percent,000242.png,9.471028036697618,0.2761389911174774,24.88015524768676,0.7855414748191833,19.163167721575807,0.8413556814193726,0.414972722530365,739724,1313,1098
stereo_left,243,assimilation_0_79_percent,000243.png,9.462886210704092,0.27541065216064453,24.05312624263082,0.7834053039550781,19.043886779373604,0.8404583930969238,0.4166065454483032,739638,1313,1098
stereo_left,244,assimilation_0_79_percent,000244.png,9.456712464139859,0.274774432182312,23.450867248477355,0.7813688516616821,18.956741335993904,0.8396705985069275,0.4174087941646576,739785,1313,1098
stereo_left,245,assimilation_0_79_percent,000245.png,9.453687798539779,0.27438169717788696,23.117139798901945,0.7801969647407532,18.913606102516578,0.8392170667648315,0.41818752884864807,739772,1312,1098
stereo_left,246,assimilation_0_79_percent,000246.png,9.452793389804352,0.27414369583129883,22.920584114516597,0.7794440388679504,18.897208545464675,0.8389143943786621,0.41842585802078247,739661,1311,1097
stereo_left,247,assimilation_0_79_percent,000247.png,9.451114909274702,0.2740136384963989,22.678921847101037,0.7787613272666931,18.874626035751362,0.8387876152992249,0.41889697313308716,739778,1311,1096
stereo_left,248,assimilation_0_79_percent,000248.png,9.449446483798198,0.27385008335113525,22.47124276372552,0.7780700325965881,18.849721211952346,0.838578999042511,0.4230521619319916,739717,1310,1095
stereo_left,249,assimilation_0_79_percent,000249.png,9.446480709732468,0.2737492322921753,22.210405954279242,0.7773541808128357,18.804804689711542,0.8383395075798035,0.42389023303985596,739887,1309,1094
stereo_left,250,assimilation_0_79_percent,000250.png,9.444213577968384,0.27352118492126465,22.023549735497518,0.7764773368835449,18.769624146892415,0.8380048871040344,0.424015611410141,739888,1308,1093
stereo_left,251,assimilation_0_79_percent,000251.png,9.44189726280202,0.2732231914997101,21.86150149640646,0.7756046652793884,18.741610211856134,0.8379371166229248,0.4239949882030487,739801,1308,1093
